Last_Name,First_Name,Student_Type,Hall,Room,Room_Type,Citizenship_DESC,DOB,Email
Gibson,Lesly,Ent First Year,Togepi House,405,Quadruple,Domestic,6/23/2006,lgibson@pokeacademy.edu
Cochran,Luis,Ent First Year,Clefairy House,303,Double,International,1/7/2004,lcochran@pokeacademy.edu
Gilmore,Liam,Ent Transfer,Umbreon House,404,Double,Domestic,1/25/1991,lgilmore@pokeacademy.edu
Landry,Darin,Ent First Year,Pikachu Hall,303,Single,Domestic,6/23/1991,dlandry@pokeacademy.edu
Salazar,Hudson,Ent First Year,Zapdos House,411,Triple,International,5/31/1996,hsalazar@pokeacademy.edu
Dorsey,Carlo,Ent First Year,Piplup House,214,Single,Domestic,6/27/1992,cdorsey@pokeacademy.edu
Singleton,Treyvon,Ent First Year,Articuno House,211,Single,Domestic,1/31/2002,tsingleton@pokeacademy.edu
Wilson,Giselle,Ent First Year,Rowlet House,108,Triple,International,1/30/1993,gwilson@pokeacademy.edu
Davies,Lily,Ent First Year,Mew House,204,Quadruple,Domestic,11/20/1998,ldavies@pokeacademy.edu
Garza,Tiffany,Ent Transfer,Zapdos House,302,Single,International,4/7/2005,tgarza@pokeacademy.edu
Clay,Martin,Ent First Year,Sylveon House,312,Quadruple,Domestic,6/10/1993,mclay@pokeacademy.edu
Banks,Quinton,Ent First Year,Leafeon House,215,Single,Domestic,4/20/1995,qbanks@pokeacademy.edu
Nolan,Perla,Ent First Year,Ivysaur House,504,Double,Domestic,8/9/1996,pnolan@pokeacademy.edu
Todd,Sierra,Ent First Year,Wailord House,109,Quadruple,Domestic,2/27/1990,stodd@pokeacademy.edu
Becker,Reanna,Ent First Year,Charmander House,302,Single,Domestic,9/15/1990,rbecker@pokeacademy.edu
Acevedo,Byron,Ent First Year,Articuno House,204,Double,Domestic,11/28/1991,bacevedo@pokeacademy.edu
Lindsey,Devon,Ent Transfer,Wailord House,408,Single,Domestic,11/29/2006,dlindsey@pokeacademy.edu
Forbes,Aliya,Ent Transfer,Raichu House,502,Double,Domestic,7/24/1996,aforbes@pokeacademy.edu
Williams,Kameron,Ent First Year,Piplup House,208,Triple,International,8/2/1996,kwilliams@pokeacademy.edu
Hudson,Maranda,Ent Transfer,Regice House,108,Single,Domestic,9/22/1999,mhudson@pokeacademy.edu
Richards,Kaylie,Ent First Year,Rowlet House,308,Single,Domestic,7/27/1991,krichards@pokeacademy.edu
Arias,Darrius,Ent First Year,Clefairy House,302,Single,International,10/26/1999,darias@pokeacademy.edu
Kidd,Edwin,Ent First Year,Bulbasaur House,203,Quadruple,Domestic,6/8/2002,ekidd@pokeacademy.edu
Koch,Kelsie,Ent First Year,Caterpie House,207,Double,Domestic,1/27/1993,kkoch@pokeacademy.edu
Drake,Graciela,Ent First Year,Ditto House,106,Single,Domestic,5/29/1998,gdrake@pokeacademy.edu
Mccarthy,Sheridan,Ent First Year,Torterra House,405,Quadruple,Domestic,11/21/1992,smccarthy@pokeacademy.edu
Cabrera,Douglas,Ent First Year,Regice House,416,Single,Domestic,6/17/1990,dcabrera@pokeacademy.edu
Myers,Ramon,Ent First Year,Caterpie House,109,Quadruple,Domestic,8/12/2001,rmyers@pokeacademy.edu
Clarke,Domenic,Ent First Year,Ho-Oh House,507,Quadruple,Domestic,6/1/1999,dclarke@pokeacademy.edu
Hampton,Skylar,Ent First Year,Spoink House,107,Quadruple,International,12/5/2006,shampton@pokeacademy.edu
Brady,Holden,Ent First Year,Zapdos House,201,Quadruple,International,11/13/2005,hbrady@pokeacademy.edu
Mccarthy,Amos,Ent First Year,Farfetch'd House,308,Triple,Domestic,1/23/1994,amccarthy@pokeacademy.edu
Carr,Abdullah,Ent First Year,Mudkip House,402,Triple,Domestic,8/10/2006,acarr@pokeacademy.edu
Nolan,Meagan,Ent Transfer,Bulbasaur House,506,Quadruple,Domestic,7/8/2004,mnolan@pokeacademy.edu
Keith,Simone,Ent First Year,Muk House,206,Single,Domestic,2/18/1997,skeith@pokeacademy.edu
Andrews,Dallas,Ent First Year,Sylveon House,109,Quadruple,Domestic,6/22/2005,dandrews@pokeacademy.edu
Webster,Hailee,Ent First Year,Mudkip House,107,Double,International,6/5/2005,hwebster@pokeacademy.edu
Short,Jude,Ent First Year,Leafeon House,505,Triple,Domestic,8/28/1995,jshort@pokeacademy.edu
Byrd,Adriana,Ent First Year,Farfetch'd House,505,Single,International,7/23/1991,abyrd@pokeacademy.edu
Sims,Anya,Ent First Year,Torterra House,406,Triple,Domestic,2/24/1995,asims@pokeacademy.edu
Howe,Aryanna,Ent Transfer,Umbreon House,107,Double,International,5/15/2006,ahowe@pokeacademy.edu
Hurley,Anita,Ent First Year,Bayleef House,103,Double,Domestic,6/15/1998,ahurley@pokeacademy.edu
Jordan,Craig,Ent First Year,Sylveon House,110,Single,Domestic,5/13/1994,cjordan@pokeacademy.edu
Irwin,Carson,Ent First Year,Moltres House,412,Triple,Domestic,12/20/2004,cirwin@pokeacademy.edu
Mcintyre,Craig,Ent First Year,Bayleef House,206,Single,Domestic,10/29/2001,cmcintyre@pokeacademy.edu
Bennett,Sophia,Ent Transfer,Sylveon House,404,Triple,Domestic,3/4/2001,sbennett@pokeacademy.edu
Sanchez,Sam,Ent First Year,Mew House,309,Triple,Domestic,9/1/2005,ssanchez@pokeacademy.edu
Peck,Aubree,Ent First Year,Cyndaquil House,405,Single,Domestic,11/30/2005,apeck@pokeacademy.edu
Ellis,Jayde,Ent Transfer,Oddish House,507,Double,International,4/14/2003,jellis@pokeacademy.edu
Holt,Ariel,Ent First Year,Farfetch'd House,310,Quadruple,International,11/11/1992,aholt@pokeacademy.edu
Adkins,Marcel,Ent First Year,Moltres House,306,Double,Domestic,8/26/2000,madkins@pokeacademy.edu
Parker,Nathanial,Ent First Year,Bulbasaur House,501,Single,Domestic,10/29/1997,nparker@pokeacademy.edu
Marsh,Warren,Ent First Year,Ditto House,411,Double,International,4/26/1991,wmarsh@pokeacademy.edu
Avery,Calvin,Ent First Year,Leafeon House,415,Single,Domestic,1/2/1994,cavery@pokeacademy.edu
Schneider,Precious,Ent First Year,Gengar House,410,Quadruple,Domestic,7/29/1994,pschneider@pokeacademy.edu
Mack,Donte,Ent First Year,Piplup House,103,Triple,International,12/25/1992,dmack@pokeacademy.edu
Moses,Kaela,Ent First Year,Bayleef House,216,Quadruple,Domestic,1/2/2000,kmoses@pokeacademy.edu
Frost,Shayne,Ent First Year,Cyndaquil House,502,Single,Domestic,9/12/2006,sfrost@pokeacademy.edu
Hunt,Tyshawn,Ent First Year,Pidgey House,503,Double,Domestic,3/24/2004,thunt@pokeacademy.edu
Roth,Joshua,Ent First Year,Spoink House,409,Triple,International,11/27/2003,jroth@pokeacademy.edu
Oconnell,Sky,Ent First Year,Gengar House,208,Triple,Domestic,11/2/1994,soconnell@pokeacademy.edu
Galloway,Ariana,Ent First Year,Umbreon House,308,Triple,Domestic,10/20/2000,agalloway@pokeacademy.edu
Herring,Trace,Ent First Year,Sylveon House,212,Single,International,11/6/1994,therring@pokeacademy.edu
Larsen,Alanna,Ent First Year,Muk House,405,Triple,Domestic,12/8/1995,alarsen@pokeacademy.edu
Rangel,Uriel,Ent First Year,Bayleef House,307,Triple,International,5/4/2001,urangel@pokeacademy.edu
Bishop,Hailie,Ent First Year,Umbreon House,502,Triple,International,12/26/1998,hbishop@pokeacademy.edu
Randall,Lena,Ent First Year,Vulpix House,509,Single,Domestic,7/5/2000,lrandall@pokeacademy.edu
Porter,Bret,Ent First Year,Wailord House,402,Quadruple,Domestic,6/24/1992,bporter@pokeacademy.edu
Dodson,Stuart,Ent Transfer,Clefairy House,212,Quadruple,International,3/19/2006,sdodson@pokeacademy.edu
Zhang,Natasha,Ent First Year,Ditto House,312,Single,Domestic,2/7/2003,nzhang@pokeacademy.edu
Avila,Hillary,Ent First Year,Oddish House,409,Single,Domestic,6/14/2000,havila@pokeacademy.edu
Proctor,Albert,Ent Transfer,Regice House,409,Triple,Domestic,7/14/1996,aproctor@pokeacademy.edu
Maddox,Joan,Ent First Year,Bulbasaur House,509,Triple,International,12/15/2002,jmaddox@pokeacademy.edu
Stark,Melinda,Ent First Year,Ditto House,211,Single,Domestic,7/13/2004,mstark@pokeacademy.edu
Rocha,Bret,Ent First Year,Regice House,102,Triple,Domestic,1/2/1999,brocha@pokeacademy.edu
Haney,Alayna,Ent Transfer,Ho-Oh House,309,Double,Domestic,1/7/2003,ahaney@pokeacademy.edu
Gamble,Giovanny,Ent Transfer,Vulpix House,404,Quadruple,Domestic,8/25/1993,ggamble@pokeacademy.edu
Montgomery,Laila,Ent Transfer,Ditto House,305,Quadruple,Domestic,12/14/1992,lmontgomery@pokeacademy.edu
Villarreal,Dallas,Ent First Year,Mudkip House,306,Quadruple,International,2/2/1999,dvillarreal@pokeacademy.edu
Shepherd,Emanuel,Ent First Year,Pikachu Hall,101,Single,Domestic,9/9/1997,eshepherd@pokeacademy.edu
Wolfe,Kristin,Ent First Year,Umbreon House,110,Quadruple,Domestic,9/15/1997,kwolfe@pokeacademy.edu
Franklin,Giovanna,Ent First Year,Squirtle House,412,Quadruple,International,12/27/1996,gfranklin@pokeacademy.edu
Krueger,Travon,Ent Transfer,Umbreon House,216,Double,Domestic,9/9/2000,tkrueger@pokeacademy.edu
Trevino,Alexis,Ent First Year,Pikachu Hall,205,Quadruple,International,12/24/1999,atrevino@pokeacademy.edu
Walker,Isaac,Ent First Year,Moltres House,103,Quadruple,International,4/4/2001,iwalker@pokeacademy.edu
Case,Joana,Ent First Year,Muk House,215,Triple,International,6/21/1990,jcase@pokeacademy.edu
Hurley,Izaiah,Ent Transfer,Cubone House,210,Triple,Domestic,12/27/1993,ihurley@pokeacademy.edu
Dawson,Joselyn,Ent First Year,Gengar House,312,Triple,Domestic,10/13/1990,jdawson@pokeacademy.edu
Hernandez,Chase,Ent First Year,Moltres House,408,Quadruple,Domestic,12/21/2003,chernandez@pokeacademy.edu
Becker,Jaden,Ent First Year,Muk House,309,Single,Domestic,7/7/2000,jbecker@pokeacademy.edu
Stephens,Rudy,Ent First Year,Gengar House,501,Single,International,5/3/2002,rstephens@pokeacademy.edu
Wyatt,Raul,Ent First Year,Vulpix House,403,Triple,Domestic,6/5/1992,rwyatt@pokeacademy.edu
Finley,Eva,Ent Transfer,Cyndaquil House,507,Double,Domestic,1/25/2000,efinley@pokeacademy.edu
Cowan,Jaqueline,Ent First Year,Lickitung House,305,Quadruple,Domestic,9/18/2002,jcowan@pokeacademy.edu
Macias,Madisen,Ent First Year,Umbreon House,404,Single,Domestic,8/25/2001,mmacias@pokeacademy.edu
Bradley,Mikel,Ent First Year,Vulpix House,415,Quadruple,Domestic,4/28/2004,mbradley@pokeacademy.edu
Schaefer,Rebekah,Ent First Year,Farfetch'd House,508,Double,International,7/1/2005,rschaefer@pokeacademy.edu
Cobb,Brendan,Ent First Year,Mew House,107,Single,Domestic,6/27/2006,bcobb@pokeacademy.edu
Montoya,Estevan,Ent First Year,Mudkip House,412,Double,International,4/30/2003,emontoya@pokeacademy.edu
Massey,Kavon,Ent First Year,Bulbasaur House,303,Double,Domestic,6/29/2001,kmassey@pokeacademy.edu
Berg,Rafael,Ent First Year,Umbreon House,212,Quadruple,Domestic,3/9/1992,rberg@pokeacademy.edu
Lang,Santos,Ent Transfer,Regice House,215,Quadruple,International,6/16/1992,slang@pokeacademy.edu
Morrison,Brian,Ent First Year,Articuno House,510,Triple,International,3/30/2003,bmorrison@pokeacademy.edu
Matthews,Brian,Ent First Year,Spoink House,213,Quadruple,Domestic,1/19/2006,bmatthews@pokeacademy.edu
Baxter,Kareem,Ent First Year,Lickitung House,405,Quadruple,Domestic,8/19/2002,kbaxter@pokeacademy.edu
Hale,Nichole,Ent First Year,Muk House,308,Quadruple,International,1/13/2004,nhale@pokeacademy.edu
Christian,Annette,Ent First Year,Bayleef House,312,Triple,Domestic,12/8/1994,achristian@pokeacademy.edu
Sampson,Danielle,Ent First Year,Torterra House,305,Single,Domestic,12/21/2006,dsampson@pokeacademy.edu
Finley,Juliana,Ent First Year,Lickitung House,105,Triple,Domestic,1/31/1992,jfinley@pokeacademy.edu
Benitez,Shirley,Ent First Year,Cubone House,205,Single,International,9/6/1997,sbenitez@pokeacademy.edu
Davis,Gordon,Ent First Year,Charmander House,502,Triple,International,9/27/2001,gdavis@pokeacademy.edu
Reese,Faith,Ent First Year,Raichu House,509,Triple,Domestic,11/26/1995,freese@pokeacademy.edu
Cochran,Jared,Ent First Year,Umbreon House,102,Quadruple,International,12/12/2004,jcochran@pokeacademy.edu
Hughes,Ingrid,Ent First Year,Squirtle House,414,Double,Domestic,4/18/1995,ihughes@pokeacademy.edu
Fischer,Juliet,Ent Transfer,Mew House,209,Double,Domestic,2/1/2001,jfischer@pokeacademy.edu
Stout,Travis,Ent First Year,Bayleef House,502,Double,Domestic,8/1/1991,tstout@pokeacademy.edu
Brooks,Quintin,Ent Transfer,Ivysaur House,502,Quadruple,International,2/27/2006,qbrooks@pokeacademy.edu
Lozano,Nathen,Ent First Year,Wailord House,412,Quadruple,International,12/5/2002,nlozano@pokeacademy.edu
Waters,Edgar,Ent First Year,Sylveon House,213,Double,International,12/19/2000,ewaters@pokeacademy.edu
Bright,Silas,Ent First Year,Regice House,208,Quadruple,Domestic,7/3/2002,sbright@pokeacademy.edu
Alexander,Tariq,Ent First Year,Torterra House,407,Single,Domestic,8/17/2003,talexander@pokeacademy.edu
Kelley,Audrey,Ent Transfer,Gengar House,507,Single,Domestic,9/5/2006,akelley@pokeacademy.edu
Callahan,Lydia,Ent First Year,Farfetch'd House,403,Single,Domestic,2/3/2006,lcallahan@pokeacademy.edu
Hutchinson,Maria,Ent Transfer,Sylveon House,305,Single,International,9/6/2001,mhutchinson@pokeacademy.edu
Mays,Kiara,Ent First Year,Torterra House,508,Quadruple,International,1/30/2000,kmays@pokeacademy.edu
Odonnell,Melvin,Ent First Year,Rowlet House,403,Double,Domestic,11/1/2000,modonnell@pokeacademy.edu
House,Gloria,Ent First Year,Charmander House,206,Single,Domestic,2/14/1999,ghouse@pokeacademy.edu
Franklin,Devyn,Ent First Year,Clefairy House,412,Single,Domestic,2/17/2006,dfranklin@pokeacademy.edu
Frederick,Tyreek,Ent First Year,Ditto House,416,Triple,Domestic,2/18/2000,tfrederick@pokeacademy.edu
Reed,Emmanuel,Ent First Year,Cyndaquil House,214,Single,International,8/2/1992,ereed@pokeacademy.edu
Hammond,Elsa,Ent First Year,Oddish House,204,Double,International,11/22/1999,ehammond@pokeacademy.edu
Bradshaw,Demetrius,Ent First Year,Luxio House,506,Triple,International,6/21/1994,dbradshaw@pokeacademy.edu
Crosby,Rogelio,Ent Transfer,Vulpix House,504,Quadruple,Domestic,7/3/2000,rcrosby@pokeacademy.edu
Singleton,Yazmin,Ent First Year,Spoink House,312,Quadruple,Domestic,6/15/2006,ysingleton@pokeacademy.edu
Benitez,Damian,Ent Transfer,Pikachu Hall,106,Double,Domestic,7/1/1991,dbenitez@pokeacademy.edu
Haynes,Isaias,Ent First Year,Charmander House,107,Single,Domestic,3/25/2002,ihaynes@pokeacademy.edu
Callahan,Amina,Ent First Year,Articuno House,303,Double,International,1/11/2002,acallahan@pokeacademy.edu
Bowen,Isiah,Ent First Year,Togepi House,107,Single,Domestic,4/18/1991,ibowen@pokeacademy.edu
Tanner,Alyssa,Ent First Year,Caterpie House,102,Triple,International,9/29/2001,atanner@pokeacademy.edu
Jarvis,Dylon,Ent First Year,Lickitung House,201,Quadruple,International,12/21/1993,djarvis@pokeacademy.edu
Stephenson,Fiona,Ent First Year,Articuno House,402,Double,Domestic,3/26/2006,fstephenson@pokeacademy.edu
Welch,Ariel,Ent Transfer,Sylveon House,213,Triple,International,3/20/1995,awelch@pokeacademy.edu
Manning,Trenton,Ent Transfer,Torterra House,307,Double,Domestic,5/30/1998,tmanning@pokeacademy.edu
Curry,Brayden,Ent Transfer,Mew House,206,Quadruple,Domestic,12/23/1998,bcurry@pokeacademy.edu
Cline,Shannon,Ent Transfer,Bayleef House,511,Quadruple,Domestic,12/19/2002,scline@pokeacademy.edu
Frye,Hadley,Ent First Year,Raichu House,209,Quadruple,International,12/31/1995,hfrye@pokeacademy.edu
Best,Carlton,Ent First Year,Luxio House,417,Triple,Domestic,6/27/1995,cbest@pokeacademy.edu
Mooney,Remington,Ent First Year,Charmander House,302,Double,International,4/28/1994,rmooney@pokeacademy.edu
Summers,Bo,Ent Transfer,Ho-Oh House,306,Quadruple,International,11/16/1999,bsummers@pokeacademy.edu
Richardson,Darius,Ent Transfer,Mew House,214,Single,Domestic,8/9/1994,drichardson@pokeacademy.edu
Suarez,Robin,Ent First Year,Farfetch'd House,402,Single,International,8/12/2002,rsuarez@pokeacademy.edu
Salas,Katia,Ent First Year,Piplup House,403,Double,Domestic,6/27/2001,ksalas@pokeacademy.edu
Stevenson,Tommy,Ent First Year,Sylveon House,212,Triple,Domestic,3/2/2002,tstevenson@pokeacademy.edu
Aguilar,Ariel,Ent First Year,Rowlet House,309,Double,Domestic,3/28/1994,aaguilar@pokeacademy.edu
Chan,Jaylin,Ent First Year,Mudkip House,214,Double,Domestic,9/7/2002,jchan@pokeacademy.edu
Boone,Nia,Ent First Year,Charmander House,106,Triple,Domestic,2/18/2005,nboone@pokeacademy.edu
Padilla,Mohammad,Ent First Year,Umbreon House,403,Triple,Domestic,7/22/1998,mpadilla@pokeacademy.edu
Heath,Kiley,Ent First Year,Bulbasaur House,305,Triple,Domestic,12/8/2002,kheath@pokeacademy.edu
Nelson,Lonnie,Ent Transfer,Wailord House,311,Triple,Domestic,8/21/1990,lnelson@pokeacademy.edu
Hudson,Cedric,Ent First Year,Pidgey House,511,Quadruple,Domestic,8/19/2005,chudson@pokeacademy.edu
Arnold,Melinda,Ent First Year,Lickitung House,416,Quadruple,International,1/2/2004,marnold@pokeacademy.edu
Daniels,Dominique,Ent First Year,Ditto House,202,Single,Domestic,2/25/2004,ddaniels@pokeacademy.edu
Esparza,Sincere,Ent First Year,Spoink House,308,Double,Domestic,5/22/1997,sesparza@pokeacademy.edu
Suarez,Elsa,Ent First Year,Pikachu Hall,503,Single,Domestic,1/12/1992,esuarez@pokeacademy.edu
Blackburn,Tyrell,Ent First Year,Caterpie House,109,Single,Domestic,4/22/2001,tblackburn@pokeacademy.edu
Owens,Celina,Ent First Year,Zapdos House,408,Quadruple,Domestic,10/18/1990,cowens@pokeacademy.edu
Patel,Devante,Ent First Year,Clefairy House,306,Triple,Domestic,11/22/1990,dpatel@pokeacademy.edu
Harrington,Jennifer,Ent First Year,Ivysaur House,213,Double,International,7/25/1994,jharrington@pokeacademy.edu
Chandler,Kenya,Ent First Year,Wailord House,208,Single,Domestic,6/14/1993,kchandler@pokeacademy.edu
Krause,Latrell,Ent First Year,Oddish House,416,Quadruple,Domestic,4/28/1991,lkrause@pokeacademy.edu
Gamble,Hayden,Ent First Year,Lickitung House,501,Single,Domestic,4/28/1999,hgamble@pokeacademy.edu
Hines,Shakira,Ent First Year,Togepi House,511,Triple,Domestic,7/17/1996,shines@pokeacademy.edu
Gilbert,Eric,Ent Transfer,Regice House,205,Double,Domestic,2/5/2001,egilbert@pokeacademy.edu
Fowler,Jack,Ent First Year,Torterra House,204,Double,Domestic,12/31/2006,jfowler@pokeacademy.edu
Stark,Dalton,Ent First Year,Ivysaur House,110,Double,Domestic,6/26/2005,dstark@pokeacademy.edu
Greer,Jacoby,Ent First Year,Luxio House,509,Quadruple,International,5/27/2003,jgreer@pokeacademy.edu
Proctor,Cristobal,Ent First Year,Lickitung House,103,Quadruple,Domestic,7/2/2006,cproctor@pokeacademy.edu
Hess,Alina,Ent First Year,Wailord House,209,Triple,Domestic,2/20/1996,ahess@pokeacademy.edu
Lozano,Alysa,Ent First Year,Leafeon House,101,Double,International,8/18/2006,alozano@pokeacademy.edu
Lucero,Nikolas,Ent Transfer,Bayleef House,403,Quadruple,Domestic,12/30/1992,nlucero@pokeacademy.edu
Liu,Alessandro,Ent First Year,Umbreon House,305,Single,International,9/14/1995,aliu@pokeacademy.edu
Espinoza,Katarina,Ent First Year,Bulbasaur House,216,Single,International,3/15/1990,kespinoza@pokeacademy.edu
Phillips,Abril,Ent Transfer,Sylveon House,302,Double,Domestic,1/1/1992,aphillips@pokeacademy.edu
Campos,Kyra,Ent Transfer,Togepi House,413,Quadruple,Domestic,10/3/1998,kcampos@pokeacademy.edu
Hinton,Georgia,Ent First Year,Farfetch'd House,110,Quadruple,Domestic,10/27/1993,ghinton@pokeacademy.edu
Durham,Heidi,Ent First Year,Sylveon House,107,Double,International,12/13/2006,hdurham@pokeacademy.edu
Hickman,Dante,Ent Transfer,Pikachu Hall,102,Double,Domestic,8/3/1994,dhickman@pokeacademy.edu
Avery,Desiree,Ent First Year,Clefairy House,407,Triple,Domestic,2/16/1996,davery@pokeacademy.edu
Chaney,Rasheed,Ent First Year,Zapdos House,306,Triple,Domestic,10/29/2003,rchaney@pokeacademy.edu
Lamb,Nestor,Ent First Year,Articuno House,312,Quadruple,Domestic,6/7/1996,nlamb@pokeacademy.edu
Jarvis,Tevin,Ent First Year,Clefairy House,203,Double,Domestic,10/17/2004,tjarvis@pokeacademy.edu
Duffy,Braedon,Ent First Year,Spoink House,209,Double,Domestic,12/2/2003,bduffy@pokeacademy.edu
Scott,Ulises,Ent First Year,Pidgey House,301,Triple,Domestic,4/16/1996,uscott@pokeacademy.edu
Whitney,Perry,Ent First Year,Bayleef House,110,Double,Domestic,6/7/2002,pwhitney@pokeacademy.edu
Ware,Blaine,Ent First Year,Torterra House,310,Double,International,11/23/2006,bware@pokeacademy.edu
Willis,Muhammad,Ent First Year,Rowlet House,408,Triple,International,6/5/2002,mwillis@pokeacademy.edu
Campos,Jennifer,Ent Transfer,Gengar House,105,Double,International,3/19/1995,jcampos@pokeacademy.edu
Lawson,Lawrence,Ent Transfer,Zapdos House,410,Quadruple,Domestic,3/30/1993,llawson@pokeacademy.edu
Li,Donnie,Ent Transfer,Pidgey House,206,Single,Domestic,6/29/1997,dli@pokeacademy.edu
Gamble,Kolton,Ent First Year,Wailord House,504,Double,Domestic,12/31/2003,kgamble@pokeacademy.edu
Chambers,Elise,Ent First Year,Luxio House,107,Double,Domestic,2/26/1999,echambers@pokeacademy.edu
Paul,Destin,Ent First Year,Lickitung House,502,Double,International,12/10/1995,dpaul@pokeacademy.edu
